Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Cerimilecchi,cerimilécchi,"Smancerie, convenevoli eccessivi, complimenti leziosi (spesso plurale).",Smancerie; leziosaggini; convenevoli; complimenti,Sgarbi; scortesie; franchezza; rudezza,"Composto da ""cerimonia"" e ""lecco"" (lusinga).",Non fare tanti cerimilecchi e vieni al sodo.,È una persona piena di inutili cerimilecchi.,Accolto con inchini e cerimilecchi.,Bassa,Toscano / Letterario,Cirimilecchi (variante pop.),No
,Ceruleo,cerùleo,"Di colore azzurro cielo, celeste chiaro (spesso riferito agli occhi).",Celeste; azzurro; turchino; cilestrino,-,"Derivato dal latino ""caeruleus"".",Aveva occhi cerulei e profondi.,Il cielo ceruleo di primavera.,Un abito di seta cerulea.,Bassa,Letterario,Nessuno,No
,Chiosatore,chiosatóre,Chi scrive chiose (note esplicative) a un testo; commentatore.,Commentatore; annotatore; glossatore; interprete,Autore; scrittore,"Derivato da ""chiosa"".",I chiosatori antichi della Divina Commedia.,Un chiosatore pedante che spiega l'ovvio.,Il lavoro del chiosatore chiarisce i passi oscuri.,Molto bassa,Filologia,Nessuno,No
,Chirografo,chirògrafo,"Documento scritto e firmato di propria mano (testamento, debito).",Scritto autografo; documento privato; manoscritto,Atto pubblico; stampa,"Derivato dal greco ""cheir"" (mano) e ""graphein"" (scrivere).",Il testamento olografo è un tipo di chirografo.,Credito chirografario (non garantito da ipoteca).,Lasciò un chirografo con le sue ultime volontà.,Bassa,Giuridico,Chirogrago (una f),No
,Cianfrinatura,cianfrinatùra,Taglio a smusso degli spigoli di un pezzo meccanico o di una lamiera.,Smussatura; bisellatura; taglio d'angolo,Spigolo; angolo vivo,"Derivato da ""cianfrino"" (fr. chanfrein).",Eseguire la cianfrinatura prima della saldatura.,La cianfrinatura toglie le bave taglienti.,Angolo di cianfrinatura.,Bassa,Meccanica / Tecnico,Nessuno,No
,Cicisbeo,cicisbèo,"Nel '700, il cavaliere servente di una dama sposata; oggi: corteggiatore lezioso.",Cavaliere servente; vagheggino; damerino; galante,-,Voce onomatopeica (chiacchiericcio).,Faceva il cicisbeo con tutte le signore.,Il cicisbeo accompagnava la dama a teatro.,Modi da vecchio cicisbeo.,Bassa,Storico / Spregiativo,Nessuno,No
,Circonvoluzioni,circonvoluzióni,Avvolgimenti a spirale; le sinuosità della superficie del cervello.,Avvolgimenti; giri; spire; sinuosità,Rettilineità; linearità,"Derivato dal latino ""circumvolvere"".",Le circonvoluzioni cerebrali aumentano la superficie della corteccia.,Il fumo saliva facendo pigre circonvoluzioni.,Si perse nelle circonvoluzioni del suo ragionamento.,Bassa,Anatomia / Letterario,Nessuno,No
,Clangore,clangóre,Suono squillante e metallico (spesso di trombe o armi).,Squillo; rimbombo; stridore; fragore metallico,Silenzio; quiete; pace,"Derivato dal latino ""clangor"".",Il clangore delle spade in battaglia.,Udirono un clangore di trombe in lontananza.,Il cancello si chiuse con un sinistro clangore.,Bassa,Letterario,Nessuno,No
,Claustrale,claustràle,"Del chiostro, monastico; figurato: vita chiusa e isolata.",Monastico; di clausura; chiuso; isolato,Mondano; aperto; secolare; socievole,"Derivato dal latino ""claustrum"" (chiostro).",Conduceva una vita quasi claustrale.,Silenzio claustrale.,Regole claustrali molto rigide.,Bassa,Religioso,Nessuno,No
,Cleptocrate,cleptòcrate,Membro di una cleptocrazia; politico che usa il potere per arricchirsi rubando.,Ladro di stato; governante corrotto,Onesto amministratore,"Composto da ""kleptes"" (ladro) e ""kratos"" (potere).",Il dittatore era un cleptocrate che depredava il paese.,I cleptocrati nascondevano i fondi all'estero.,Regime governato da cleptocrati.,Bassa,Politico,Nessuno,No
,Cliffhanger,cliffhànger,Finale sospeso di un episodio narrativo per creare attesa nel pubblico.,Finale in sospeso; colpo di scena; suspence,Conclusione; epilogo chiuso; risoluzione,"Dall'inglese ""cliff"" (scogliera) e ""hanger"" (colui che pende).",La stagione finisce con un cliffhanger pazzesco.,Gli sceneggiatori usano i cliffhanger per tenere incollati gli spettatori.,Odio quando i libri finiscono con un cliffhanger.,Media,Cinema / TV / Narrativa,Nessuno,No
,Cloaca,cloàca,Condotto fognario sotterraneo; luogo sporco e malsano.,Fogna; chiavica; scolo; luogo immondo,Luogo salubre; sorgente,"Derivato dal latino ""cloaca"".",La Cloaca Massima di Roma antica.,Quel posto è una vera cloaca.,Fiume ridotto a una cloaca a cielo aperto.,Bassa,Ingegneria / Figurato,Nessuno,No
,Coacervo,coacèrvo,"Ammasso disordinato, accumulo di cose eterogenee.",Ammasso; cumulo; accozzaglia; insieme confuso,Ordine; selezione; insieme organico; sistema,"Derivato dal latino ""coacervare"" (ammucchiare).",Un coacervo di leggi contraddittorie.,La sua tesi è un coacervo di idee confuse.,Coacervo di emozioni contrastanti.,Bassa,Giuridico / Colto,Coacèrveo (errato),No
,Coatto,coàtto,"Imposto per forza, obbligatorio; gergale: persona rozza, prepotente (romanesco).",Forzato; obbligatorio; costretto; imposto,Volontario; libero; facoltativo; spontaneo,"Derivato dal latino ""coactus"" (costretto).",Scontare la pena al domicilio coatto.,Si comporta come un coatto di periferia.,Un prelievo coatto sui conti correnti.,Media,Giuridico / Gergo,Nessuno,No
,Coazione,coazióne,Costrizione interna o esterna a compiere determinate azioni.,Costrizione; forza; obbligo; compulsione,Libertà; scelta; volontà; arbitrio,"Derivato dal latino ""coactio"".",Coazione a ripetere (concetto freudiano).,Agire sotto coazione psicologica.,Non c'è validità giuridica se c'è coazione fisica.,Bassa,Psicologia / Giuridico,Nessuno,No
,Cogente,cogènte,"Che costringe, inderogabile, obbligatorio (norma).",Obbligatorio; vincolante; costrittivo; inderogabile,Facoltativo; opzionale; derogabile; discrezionale,"Participio presente di ""cogere"" (costringere).",Norme di diritto cogente che non si possono violare.,Un argomento logico e cogente.,Necessità cogente di agire subito.,Bassa,Giuridico / Formale,Nessuno,No
,Coglionare,coglionàre,"Prendere in giro, beffeggiare (volgare).",Prendere in giro; beffare; deridere; canzonare,Rispettare; onorare; lodare; stimare,"Derivato da ""coglione"".",Smettila di coglionarmi!,Si sentiva coglionato dagli amici.,Non farti coglionare da quel truffatore.,Media,Volgare,Nessuno,No
,Compita,còmpita,"Aggettivo femminile: educata, gentile, composta nel comportamento.",Educata; garbata; cortese; corretta,Sguaiata; maleducata; scortese; scomposta,"Femminile di ""compito"" (dal latino ""completus"").",Una signorina molto compita e riservata.,Rispose con aria compita.,Stare seduta in modo compito.,Bassa,Comune,Compìta (participio di compire),No
,Compulsare,compulsàre,"Esaminare o consultare con attenzione (libri, documenti, codici).",Consultare; esaminare; sfogliare; scartabellare,Ignorare; trascurare; tralasciare,"Derivato dal latino ""compulsare"" (spingere, urtare).",Passò la notte a compulsare vecchi manoscritti.,Devo compulsare il dizionario per trovare la parola.,Compulsare gli atti del processo.,Bassa,Burocratico / Colto,Nessuno,No
,Computazionale,computazionàle,Relativo al calcolo automatico e all'informatica.,Informatico; di calcolo; numerico; digitale,Analogico; manuale,"Derivato da ""computazione"" (calcolo).",Linguistica computazionale.,Potenza computazionale dei nuovi processori.,Pensiero computazionale.,Media,Informatica / Scientifico,Nessuno,No
,Conculcare,conculcàre,"Calpestare, opprimere, violare (spesso diritti o dignità).",Calpestare; opprimere; violare; soffocare,Rispettare; difendere; esaltare; proteggere,"Derivato dal latino ""conculcare"" (pestare con i calcagni).",Conculcare i diritti dei più deboli.,Non permetterò a nessuno di conculcare la mia libertà.,Popolo conculcato dal tiranno.,Bassa,Letterario / Politico,Nessuno,No
,Concupire,concupìre,Desiderare ardentemente (spesso in senso sessuale).,Bramare; desiderare (sessualmente); agognare,Disprezzare; rifiutare; respingere,"Derivato dal latino ""concupere"".",Non concupire la donna d'altri (comandamento).,Concupiva il potere più di ogni altra cosa.,Sguardi volti a concupire.,Bassa,Religioso / Letterario,Nessuno,No
,Condiscendenza,condiscendènza,"Atteggiamento di chi asseconda gli altri, talvolta con senso di superiorità.",Accondiscendenza; compiacenza; tolleranza; superiorità,Severità; rigore; intransigenza; durezza,"Derivato da ""condiscendere"".",Accettò con un sorriso di condiscendenza.,La sua condiscendenza mi irrita.,Trattare qualcuno con condiscendenza paterna.,Media,Comune,Nessuno,No
,Confà,confà,"Terza persona singolare del verbo che significa 'essere adatto', 'convenire'.",Si addice; conviene; è adatto; si presta,Stona; disdice; non conviene,"Vedi ""Confarsi"".",Questo clima non mi si confà.,Un comportamento che non si confà a un gentiluomo.,Il ruolo gli si confà perfettamente.,Media,Comune,Scritto con l'accento (confà),No
,Confacente,confacènte,"Adatto, appropriato, conveniente a una situazione.",Adatto; idoneo; appropriato; consono,Inadatto; sconveniente; inopportuno; discordante,"Participio presente di ""confarsi"".",Cercare una soluzione confacente al problema.,Un abito confacente all'occasione.,Risposta non confacente alla domanda.,Bassa,Formale,Nessuno,No
,Conferire,conferìre,"Attribuire, dare (un titolo, un incarico); parlare, avere un colloquio.",Attribuire; dare; assegnare; discutere,Togliere; revocare; tacere; ritirare,"Derivato dal latino ""conferre"".",Conferire la laurea honoris causa.,Devo conferire con il direttore in privato.,L'olio conferisce sapore al piatto.,Media,Comune,Nessuno,No
,Contiguo,contìguo,"Adiacente, che tocca, vicino fisicamente.",Adiacente; vicino; confinante; limitrofo,Lontano; distante; separato; staccato,"Derivato dal latino ""contiguus"".",Abitano in stanze contigue.,I due edifici sono contigui.,Angoli contigui (geometria).,Media,Comune / Tecnico,Nessuno,No
,Contingente,contingènte,Che accade casualmente; non necessario; (sostantivo) gruppo di truppe.,Accidentale; casuale; eventuale; gruppo (militare),Necessario; essenziale; eterno; assoluto,"Derivato dal latino ""contingere"" (accadere).",Verità contingenti (che possono cambiare).,Il contingente italiano in missione di pace.,Affrontare i problemi contingenti (del momento).,Media,Filosofia / Militare,Nessuno,No
,Contrada,contràda,"Quartiere, zona (famoso nelle città come Siena); regione, paese.",Quartiere; rione; zona; regione,-,"Derivato dal latino ""contra"" (di fronte).",La contrada della Torre ha vinto il Palio.,Vagare per le contrade del mondo.,In quella contrada non cresce nulla.,Media,Storico / Popolare,Nessuno,No
,Contumacia,contumàcia,Assenza dell'imputato al proprio processo; disobbedienza.,Assenza; latitanza; disobbedienza,Presenza; comparizione,"Derivato dal latino ""contumacia"" (arroganza).",Fu condannato in contumacia.,Dichiarare la contumacia del convenuto.,Persistere nella contumacia.,Bassa,Giuridico,Nessuno,No
,Contumelia,contumèlia,"Offesa grave, insulto ingiurioso.",Offesa; ingiuria; insulto; oltraggio,Lode; elogio; complimento; encomio,"Derivato dal latino ""contumelia"".",Coprire qualcuno di contumelie.,Non tollero simili contumelie.,Rispondere alle contumelie con il silenzio.,Bassa,Letterario,Nessuno,No
,Convalidare,convalidàre,"Rendere valido, confermare ufficialmente.",Confermare; approvare; ratificare; certificare,Annullare; invalidare; smentire; abrogare,"Derivato da ""valido"".",Convalidare il biglietto dell'autobus.,Il giudice deve convalidare l'arresto.,Dati che convalidano la tesi.,Alta,Comune,Nessuno,No
,Convenuto,convenùto,Persona citata in giudizio (chi viene chiamato in causa).,Citato; imputato; chiamato in causa; accordo,Attore; accusatore,"Participio passato di ""convenire"".",Il convenuto deve presentarsi in udienza.,Attore e convenuto sono le parti del processo.,L'avvocato del convenuto.,Bassa,Giuridico,"Confusione con ""accordo""",No
,Convoluzione,convoluzióne,Avvolgimento su se stesso; operazione matematica.,Avvolgimento; spira; giro,Svolgimento,"Derivato dal latino ""convolvere"".",Rete neurale a convoluzione (CNN).,Convoluzione di due segnali.,Vedi anche Circonvoluzione.,Bassa,Matematica / Tecnico,Nessuno,No
,Cooptare,cooptàre,Chiamare qualcuno a far parte di un organo collegiale per scelta dei membri stessi.,Aggregare; assumere; nominare; inserire,Escludere; espellere; licenziare; allontanare,"Derivato dal latino ""cooptare"".",Il consiglio ha deciso di cooptare due nuovi soci.,Entrare nel club per cooptazione.,I professori cooptavano i loro allievi preferiti.,Bassa,Burocratico / Politico,Nessuno,No
,Corredato,corredàto,"Fornito, accompagnato da quanto serve.",Accompagnato; fornito; dotato; provvisto,Privo; sprovvisto; mancante; nudo,"Participio passato di ""corredare"".",Articolo corredato da foto.,Domanda corredata di marca da bollo.,Appartamento corredato di tutto.,Media,Burocratico / Comune,Coreddato (errato),No
,Corroborare,corroboràre,"Rafforzare, fortificare (fisicamente o moralmente); confermare (una tesi).",Rafforzare; confermare; avvalorare; fortificare,Indebolire; smentire; confutare; invalidare,"Derivato dal latino ""robur"" (forza/quercia).",Corroborare il corpo con vitamine.,I fatti corroborano la sua testimonianza.,Una tesi corroborata da prove.,Bassa,Formale,Nessuno,No
,Corrucciato,corrucciàto,"Adirato, pieno di stizza o risentimento; accigliato.",Adirato; stizzito; imbronciato; accigliato,Sereno; allegro; sorridente; lieto,"Derivato da ""corruccio"".",Aveva un'espressione corrucciata.,Cielo corrucciato (minaccioso).,Perché sei così corrucciato oggi?,Bassa,Letterario,Corucciato (una r),No
,Corruccio,corrùccio,Collera mista a dolore o dispetto; stizza.,Collera; stizza; dispetto; rancore,Gioia; allegria; serenità; pace,"Derivato dal latino ""corruptiare"" (guastare).",Celava a stento il suo corruccio.,Morì di corruccio.,Guardare con corruccio.,Bassa,Letterario,Coruccio (una r),No
,Cosmogonia,cosmogonìa,Mito o dottrina sull'origine dell'universo.,Origine dell'universo; mito della creazione,Escatologia (fine); apocalisse,"Derivato dal greco ""kosmos"" (mondo) e ""gonos"" (generazione).",La cosmogonia biblica della Genesi.,Le antiche cosmogonie orientali.,Differenza tra cosmogonia e cosmologia.,Bassa,Filosofia / Religione,Nessuno,No
,Cospicuo,cospìcuo,"Notevole, rilevante, consistente (spesso di somma di denaro).",Notevole; rilevante; ingente; abbondante,Scarso; esiguo; modesto; irrilevante,"Derivato dal latino ""conspicuus"" (visibile).",Ha ereditato un patrimonio cospicuo.,Un numero cospicuo di partecipanti.,Offerta cospicua.,Media,Formale,Nessuno,No
,Costipazione,costipazióne,Stitichezza; raffreddore forte (arcaico o regionalismo influenzato dall'inglese).,Stitichezza; stipsi; blocco,Diarrea; dissenteria,"Derivato dal latino ""constipare"" (addensare).",Soffrire di costipazione cronica.,Rimedi naturali contro la costipazione.,Avere il naso chiuso per la costipazione (uso raro in IT moderno).,Bassa,Medico,Nessuno,No
,Crapula,cràpula,L'atto di mangiare e bere smodatamente; gozzoviglia.,Gozzoviglia; bagordo; ingordigia; ubriachezza,Sobrietà; temperanza; astinenza; digiuno,"Derivato dal latino ""crapula"" (ubriachezza).",Dedicarsi alla crapula e al vizio.,Morì per gli eccessi della crapula.,Compagno di crapula.,Molto bassa,Letterario,Nessuno,No
,Creanza,creànza,"Buona educazione, cortesia, garbo.",Educazione; cortesia; buone maniere; garbo,Maleducazione; scortesia; villania; inciviltà,"Derivato dallo spagnolo ""crianza"" (allevamento/educazione).",Non hai un briciolo di creanza!,Rispondere con la dovuta creanza.,Insegnare la creanza ai figli.,Bassa,"Comune (Spesso negativo ""mala creanza"")",Nessuno,No
,Cremisi,crèmisi,Colore rosso vivo e luminoso (tonalità tra il rosso e il porpora).,Rosso vivo; porpora; scarlatto,-,"Dall'arabo ""qirmiz"".",Diventò rosso cremisi per la vergogna.,Velluto color cremisi.,Il cielo si tinse di cremisi al tramonto.,Bassa,Colori / Letterario,Cremisì (accento finale errato),No
,Crepuscolare,crepuscolàre,Del crepuscolo; movimento poetico italiano del primo '900 (toni malinconici e dimessi).,Del tramonto; malinconico; decadente; fioco,Mattutino; luminoso; solare; vivace,"Derivato da ""crepuscolo"".",Luce crepuscolare.,I poeti crepuscolari come Gozzano.,Atmosfera crepuscolare e nostalgica.,Bassa,Letterario,Nessuno,No
,Crinale,crinàle,Linea di intersezione tra due versanti di un monte; spartiacque.,Spartiacque; cresta; cima; discrimine,Valle; fondo; pianura,"Derivato da ""crine"" (capello/cima).",Camminare sul crinale della montagna.,Siamo sul crinale tra pace e guerra.,La strada corre lungo il crinale.,Media,Geografia / Figurato,Nessuno,No
,Crocchia,cròcchia,Acconciatura femminile a forma di nodo o treccia raccolta sulla nuca (chignon).,Chignon; tuppo; nodo (di capelli),Capelli sciolti,"Forse dal latino ""crocula"".",Portava i capelli raccolti in una crocchia severa.,La crocchia si è sciolta.,Fissare la crocchia con le forcine.,Bassa,Moda / Comune,Crochia (una c),No
,Crocchio,cròcchio,Gruppo di persone riunite per chiacchierare (vedi capannello).,Gruppo; capannello; circolo; raduno,Isolamento,"Derivato da ""croccare"" (scricchiolare/chiacchierare).",Stavano in crocchio a spettegolare.,Formare un crocchio in piazza.,Si unì al crocchio degli anziani.,Bassa,Comune,Nessuno,No
,Crogiolo,crogiòlo,Recipiente resistente al fuoco per fondere metalli; figurato: ambiente in cui si fondono elementi diversi.,Recipiente; fornace; ambiente di fusione,-,"Derivato da ""crogiolare"".",Il crogiolo ardente della fonderia.,New York è un crogiolo di razze (melting pot).,Passare attraverso il crogiolo della sofferenza.,Bassa,Tecnico / Figurato,Nessuno,No
,Crucifige,crucifìge,Grido di condanna unanime; clamore ostile contro qualcuno.,Condanna; accusa; clamore; riprovazione,Osanna; acclamazione; lode; trionfo,"Latino ""crucifige!"" (crocifiggilo!).",Si levò un alto crucifige contro la proposta.,Essere esposto al crucifige mediatico.,Non merita tutto questo crucifige.,Molto bassa,Letterario / Colto,Nessuno,No
,Dardeggiante,dardeggiànte,Che colpisce o illumina vivamente come un dardo; bruciante (di sole).,Che colpisce; che brucia; penetrante; sfolgorante,Spento; opaco; smorto,"Participio presente di ""dardeggiare"".",Uno sguardo dardeggiante di rabbia.,Sotto il sole dardeggiante di luglio.,Luci dardeggianti nella notte.,Bassa,Letterario,Nessuno,No
,Dardeggio,dardéggio,L'atto di dardeggiare; emissione di raggi luminosi intensi.,Irraggiamento; sfolgorio; lancio; emissione,-,"Derivato da ""dardo"".",Il dardeggio del sole sull'acqua.,Sostenne il dardeggio dei flash dei fotografi.,Il dardeggio delle sue parole feriva.,Molto bassa,Letterario,Nessuno,No
,Débâcle,debàcle,"Disfatta improvvisa, crollo rovinoso (militare, politico o economico).",Disfatta; rotta; crollo; fallimento,Vittoria; trionfo; successo; ripresa,Prestito dal francese (sgelo/rotta).,L'esercito subì una tremenda débâcle.,La débâcle finanziaria dell'azienda.,Il film fu una débâcle al botteghino.,Media,Giornalistico / Comune,Debacle (senza accento),No
,Debilità,debilità,Debolezza fisica o morale; scarso vigore.,Debolezza; fiacchezza; astenia; fragilità,Forza; vigore; robustezza; energia,"Derivato dal latino ""debilitas"".",Mostrare una preoccupante debilità.,Curare la debilità del corpo con ricostituenti.,Debilità mentale (termine medico desueto).,Bassa,Medico / Letterario,Nessuno,No
,Decostruire,decostruìre,"Smontare, analizzare criticamente per rivelare strutture nascoste.",Smontare; analizzare; destrutturare; scomporre,Costruire; strutturare; sintetizzare; assemblare,"Derivato dal francese ""déconstruire"".",Decostruire un testo letterario.,Il filosofo decostruisce i concetti tradizionali.,Piatto gourmet che decostruisce la lasagna.,Media,Filosofia / Gastronomia,Nessuno,No
,Dedalo,dèdalo,"Intrico, labirinto; intreccio complicato di vie o cose.",Labirinto; intrico; groviglio; garbuglio,Via dritta; ordine; linearità; semplicità,"Dal mito di Dedalo, costruttore del labirinto di Creta.",Perdersi nel dedalo delle viuzze del centro.,Un dedalo di leggi incomprensibili.,Uscire dal dedalo della burocrazia.,Media,Comune,Nessuno,No
,Defedato,defedàto,"Gravemente debilitato, emaciato, privo di forze (specie per malattia).",Denutrito; deperito; emaciato; debilitato,Florido; robusto; sano; in carne,"Derivato dal verbo ""defedare"" (indebolire, logorare nel fisico), a sua volta dal latino ""foedus"" (brutto, deforme).",Appariva pallido e defedato dopo la lunga degenza.,Un corpo defedato dalla carestia.,Animali defedati e malnutriti.,Bassa,Medico,Nessuno,No
,Deflorare,defloràre,Privare della verginità (termine formale o letterario).,Sverginare; cogliere; violare,-,"Derivato dal latino ""deflorare"" (cogliere il fiore).",Anticamente si diceva deflorare una fanciulla.,L'atto di deflorare.,Metaforicamente: togliere la freschezza a qualcosa.,Bassa,Giuridico / Letterario,Nessuno,No
,Delatore,delatóre,"Chi denuncia segretamente qualcuno alle autorità; spia, informatore.",Spia; informatore; accusatore; traditore,Complice; alleato; tacito,"Derivato dal latino ""delator"".",Fu arrestato a causa di un delatore anonimo.,I delatori venivano pagati dalla polizia segreta.,Disprezzare il comportamento del delatore.,Bassa,Storico / Giuridico,Nessuno,No
,Delazione,delazióne,L'atto di denunciare segretamente qualcuno (spesso per lucro o vendetta).,Denuncia; soffiata; accusa segreta; tradimento,Reticenza; omertà; fedeltà,"Derivato dal latino ""delatio"".",La delazione era incoraggiata dal regime.,Vivere nel clima di sospetto e delazione.,Premio per la delazione.,Bassa,Giuridico,Nessuno,No
,Deliberato,deliberàto,"Deciso, risoluto; intenzionale (fatto apposta).",Deciso; intenzionale; voluto; risoluto,Accidentale; involontario; casuale; impulsivo,"Participio passato di ""deliberare"".","È stato un atto deliberato, non un incidente.",Avanzava con passo deliberato verso il palco.,Omicidio deliberato.,Media,Giuridico / Comune,Nessuno,No
,Deliquio,delìquio,"Svenimento, perdita momentanea dei sensi; estasi languida.",Svenimento; mancamento; sfinimento; estasi,Ripresa; vigore; coscienza; risveglio,"Derivato dal latino ""deliquium"" (mancanza).",Cadde in un deliquio per l'emozione.,Fu trovata in stato di deliquio.,Deliquio amoroso.,Bassa,Letterario / Medico,Nessuno,No
,Depauperare,depauperàre,"Impoverire, privare delle risorse o delle qualità.",Impoverire; svuotare; esaurire; consumare,Arricchire; rimpinguare; accrescere; riempire,"Derivato dal latino ""pauper"" (povero).",Lo sfruttamento intensivo ha depauperato il terreno.,Depauperare il patrimonio artistico.,La malattia lo ha depauperato delle forze.,Bassa,Economico / Ecologico,Nessuno,No
,Deplorare,deploràre,Provare o esprimere profondo rammarico e disapprovazione.,Biasimare; condannare; rimpiangere; lamentare,Approvare; lodare; apprezzare; esaltare,"Derivato dal latino ""deplorare"" (piangere su).",Deploriamo l'accaduto e chiediamo scusa.,Atteggiamento da deplorare severamente.,Deploro la tua mancanza di rispetto.,Media,Formale,Nessuno,No
,Deprecato,deprecàto,Disapprovato vivamente; (Informatica) dichiarato obsoleto ma non ancora rimosso.,Disapprovato; sconsigliato; obsoleto; condannato,Approvato; raccomandato; attuale; lodato,"Derivato dal latino ""deprecari"".",L'uso della violenza va deprecato.,Questa funzione è deprecata nella nuova versione del software.,Metodi educativi ormai deprecati.,Media,Informatica / Formale,Nessuno,No
,Derubricare,derubricàre,Classificare un reato come meno grave; togliere da una rubrica/lista.,Declassare; riclassificare; togliere dalla rubrica,Rubricare; aggravare; classificare,"Derivato da ""rubrica"" (titolo in rosso delle leggi).",Il reato è stato derubricato da omicidio a colposo.,L'argomento è stato derubricato dall'ordine del giorno.,Derubricare la questione a semplice pettegolezzo.,Media,Giuridico / Giornalistico,Nessuno,No
,Detrimento,detriménto,"Danno, pregiudizio, svantaggio (morale o materiale).",Danno; svantaggio; pregiudizio; perdita,Vantaggio; beneficio; utile; guadagno,"Derivato dal latino ""detrimentum"".",Lavorare troppo a detrimento della salute.,Senza detrimento per la propria dignità.,Ciò va a detrimento della qualità.,Bassa,Formale / Giuridico,Nessuno,No
,Diacronico,diacrònico,Che considera i fatti nel loro svolgersi nel tempo (opposto a sincronico).,Storico; evolutivo; temporale; in divenire,Sincronico; statico; puntuale,"Derivato dal greco ""dia"" (attraverso) e ""chronos"" (tempo).",Analisi diacronica dell'evoluzione della lingua.,Studio diacronico degli eventi storici.,Approccio diacronico.,Bassa,Linguistica / Scientifico,Nessuno,No
,Diafano,diàfano,"Che lascia passare la luce ma non permette di distinguere i contorni; pallido, esangue.",Trasparente; traslucido; pallido; sottile,Opaco; torbido; denso; spesso,"Derivato dal greco ""diaphanes"" (trasparente).",Una carnagione diafana e delicata.,Tende diafane alle finestre.,Creatura dall'aspetto diafano.,Bassa,Letterario,Nessuno,No
,Diastematico,diastemàtico,"Relativo agli intervalli o alle interruzioni (musica, geologia).",Intervallare; discontinuo,Continuo,"Derivato dal greco ""diastema"" (intervallo).",Canto diastematico (con intervalli definiti).,Notazione diastematica medievale.,Mancanza di continuità diastematica.,Molto bassa,Musica / Specialistico,Nessuno,No
,Dicotomia,dicotomìa,Divisione netta in due parti o concetti opposti.,Divisione in due; bipartizione; contrapposizione; dualismo,Unione; fusione; unità; sintesi,"Derivato dal greco ""dicha"" (in due) e ""temnein"" (tagliare).",La dicotomia tra bene e male.,Superare la dicotomia mente-corpo.,Dicotomia tra teoria e pratica.,Media,Filosofia / Scientifico,Nessuno,No
,Diegetico,diegètico,"Interno alla narrazione, che fa parte della storia raccontata.",Narrativo; interno alla storia,Extradiegetico,"Derivato dal greco ""diegesis"" (narrazione).",Musica diegetica (che i personaggi sentono).,Spazio diegetico del film.,Tempo diegetico.,Bassa,Cinema / Narratologia,Nessuno,No
,Dileggiare,dileggiàre,"Deridere, beffeggiare, schernire pesantemente.",Deridere; schernire; beffeggiare; canzonare,Rispettare; onorare; stimare; apprezzare,"Etimologia incerta, forse da ""legge"" (nel senso di farla pagare).",Fu dileggiato dalla folla inferocita.,Dileggiare i vinti è un atto vile.,Non permettere a nessuno di dileggiarti.,Bassa,Letterario,Nessuno,No
,Dileggio,diléggio,"Scherno, derisione offensiva.",Scherno; derisione; beffa; insulto,Rispetto; lode; encomio; ammirazione,"Derivato da ""dileggiare"".",Oggetto di pubblico dileggio.,Rispose al dileggio con il silenzio.,Esposto al dileggio dei compagni.,Bassa,Letterario,Nessuno,No
,Dilucolo,dilùcolo,L'ora che precede l'alba; prima luce del giorno.,Alba; aurora; crepuscolo mattutino; prima luce,Tramonto; crepuscolo serale; sera,"Derivato dal latino ""diluculum"".",Alzarsi al dilucolo.,Nel freddo dilucolo invernale.,Termine ormai disusato.,Molto bassa,Arcaico,Nessuno,No
,Dinorfina,dinorfìna,Peptide oppioide prodotto dal corpo con potente effetto analgesico.,Peptide oppioide,-,"Composto da ""din(amio)"" e ""(m)orfina"".",La dinorfina viene rilasciata sotto stress.,Recettori della dinorfina.,Studio sugli effetti della dinorfina.,Molto bassa,Biologia / Medicina,Nessuno,No
,Diorama,dioràma,"Rappresentazione tridimensionale di una scena (paesaggio, battaglia) in scala ridotta.",Plastico; modello; scena tridimensionale,-,"Derivato dal greco ""dia"" (attraverso) e ""orama"" (veduta).",Il museo ospita un diorama della foresta pluviale.,Costruire un diorama storico.,Guardare attraverso il vetro del diorama.,Bassa,Modellismo / Museale,Nessuno,No
,Diporto,dipòrto,"Svago, ricreazione (specie all'aria aperta); navigazione turistica.",Svago; divertimento; ricreazione; piacere,Lavoro; dovere; fatica; impegno,"Derivato da ""diportarsi"" (svagarsi).",Navigazione da diporto.,Barca da diporto.,Uscire per diporto.,Bassa,Nautica / Burocratico,Nessuno,No
,Dirimere,dirìmere,"Risolvere, appianare, troncare (una lite o controversia).",Risolvere; appianare; troncare; decidere,Complicare; imbrogliare; lasciare in sospeso,"Derivato dal latino ""dirimere"" (separare).",Dirimere una controversia legale.,Toccca al giudice dirimere la questione.,Non riuscirono a dirimere il dubbio.,Bassa,Giuridico / Formale,Nessuno,No
,Dirupato,dirupàto,"Scosceso, pieno di rupi e precipizi.",Scosceso; erto; precipitoso; impervio,Pianeggiante; dolce; piano; comodo,"Derivato da ""dirupo"".",Sentiero dirupato e pericoloso.,Costa dirupata a picco sul mare.,Terreno dirupato.,Bassa,Geografico,Nessuno,No
